the_geom,cartodb_id,at_a_public_event_negative,at_a_public_event_positive,at_the_shops_negative,at_the_shops_positive,going_to_or_from_school_negative,going_to_or_from_school_positive,going_to_or_from_work_negative,going_to_or_from_work_positive,i_avoid_going_there_alone,i_never_went_back_there,i_reported_it_and_authorities_did_something,i_reported_it_but_authorities_did_nothing,i_stopped,i_told_my_friend_or_my_family,in_a_park_or_garden_negative,in_a_park_or_garden_positive,on_the_street_negative,on_the_street_positive,out_socially_negative,out_socially_positive,public_transport_negative,public_transport_positive,someone_using_alcohol_or_drugs_negative,this_happens_so_often_that_ia_m_just_used_to_it,age,created_datetime,dataset,description_negative,description_positive,description_translation,disability,ethnicity,ftb_demographics_heading,full_time_parent,gender,gender_discrimination_factor,id,in_work,location_adminarea1,location_adminarea1type,location_adminarea3,location_adminarea3type,location_adminarea4,location_adminarea4type,location_adminarea5,location_adminarea5type,location_adminarea6,location_adminarea6type,location_displaylatlng_lat,location_displaylatlng_lng,location_dragpoint,location_geocodequality,location_geocodequalitycode,location_latlng_lat,location_latlng_lng,location_linkid,location_mapurl,location_postalcode,location_sideofstreet,location_street,location_type_1,location_unknowninput,spot_type,location_what_happened_next_other,name,none,other,religion,student,submission_sets_support_length,submission_sets_support_name,submission_sets_support_url,submitter,submitter_avatar_url,submitter_id,submitter_name,submitter_provider_id,submitter_provider_type,submitter_username,time_of_day,unemployed,updated_datetime,url,user_token,visible
0101000020E610000029DD2A089D494040EEE9B7E63FC1D43F,1188,,,,,,,,,,,,,,,,,,,,Out socially_positive,,,,,20,2018-05-31 09:23:00.764+00,47,,"The place has enough security,  the doctors are careful with their working ",,,,,,female,,124683,in work,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.324247,32.575227,false,POINT,P1AAA,0.324247,32.575227,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3242466,32.575226552395876|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1718760700",33903,false,65 Buganda Road,s,,good,,"65 Buganda Road, Kampala Central Region",none,,,,,,,,,,,,,,Anytime,,2018-05-31 09:23:00.782+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/124683,session:1a8069afdc550f0e284b1ac2297ca836,true
0101000020E6100000F95CF724014A40403F6CD3A3237CD43F,1227,,,,,,Going to or from school_positive,,,,,,,,,,,,On the street_positive,,Out socially_positive,,Public transport_positive,,,15,2018-05-31 12:20:56.424+00,47,,It was going to crafts shop and as I was crossing the road the car stopped because it was already on a low speed and I passed. There are enough humps on the road to make cars run on a good speed.,,,,,,female,,124724,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.320128,32.578261,false,STREET,B1AAA,0.320128,32.578261,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3201281209732055,32.57826102222211|marker-sm-50318A-1&scalebar=true&zoom=15&rand=535171642",7063,false,Nakasero Road,s,,good,,"Nakasero Road, Kampala Central Region",,,,student,,,,,,,,,,,Anytime,,2018-05-31 12:20:56.44+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/124724,session:83f591e2e0e6085606efe4129bda15fe,true
0101000020E61000000415609F6A49404048AE0537FEE6D53F,948,,,,,,,,,,,,,,,,,,,,,Public transport_negative,,,This happens so often that Iâ€™m just used to it,23,2018-05-29 08:45:35.379+00,47,I heard that people's phones and bags are snatched due to darkness in the area _x000D_The police is needed in the area to arrest those thieved,,,,,,,female,,122480,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,none,,,,,,,,,,,,,,Anytime,unemployed,2018-05-31 09:56:56.221+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/122480,session:c4b4de5f5d2bbeeae81cb5ff586a1675,false
0101000020E6100000C62CD6142A4F40402B34D5B19891D03F,44,,,,,,Going to or from school_positive,,,,,,,,,,,,,,,,,,,15,2018-05-22 12:20:26.685+00,47,,"A school bus moving, an officer at the back, at school, it has enough security_x000D_",,,,,,female,,105223,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.258908,32.618517,false,STREET,B1AAA,0.258908,32.618517,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.2589077013825531,32.61851746778199|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1997913645",6971,false,Lukuli Road,s,,good,,"Lukuli Road, Kampala Central Region",,,,student,,,,,,,,,,,Anytime,,2018-05-22 12:20:26.711+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/105223,session:f4a2eca3160131800cc0900e8d30db6d,true
0101000020E6100000971800305B464040A44D4DBA98C3D43F,100,,,,,,,Going to or from work_negative,,,,,,,I told my friend or my family),,,,,,,,,,,19,2018-05-23 08:23:55.259+00,47,"Lot of dogs, they bite  people and the owners run away, so its a bad place ",,,,,,,female,,109678,in work,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.32454,32.547466,false,POINT,P1AAA,0.32454,32.547466,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.32454,32.5474658|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1894553595",33903,false,Trust Video Library,s,,bad,,"Trust Video Library, Kampala Central Region",none,,,,,,,,,,,,,,Anytime,,2018-05-23 08:23:55.385+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/109678,session:1fffe766660efa859072da769414e1e0,true
0101000020E610000043180029984C40404840D99097D7D23F,178,,,,,,,,,,,,,,,,,,,,Out socially_positive,,,,,17,2018-05-23 12:04:14.712+00,47,,I visit the human rights house when ever I want to learn and understand anything about my rights as a person. The people are so welcoming and i feel safe whenever am in that place.,,,,,,female,,110633,,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,,,student,,,,,,,,,,,Anytime,unemployed,2018-05-23 12:04:14.837+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/110633,session:0680a1801e226ad533cb912f9a4b9279,true
0101000020E61000008DC0961E7F4D40409752D3CA5649D33F,189,,,,,,,,,,,,,,,,,,On the street_positive,,,,,,,16,2018-05-23 12:20:58.691+00,47,,"Selling products, the girls, going to the market, we have enough security ",,,,,,female,,110701,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.301719,32.605916,false,STREET,B1AAA,0.301719,32.605916,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3017192890700154,32.605915879909006|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1600736983",28487,false,Zzimwe Road,s,,good,,"Zzimwe Road, Kampala Central Region",,,,student,,,,,,,,,,,Morning,,2018-05-23 12:20:58.817+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/110701,session:bea7eab437a50038f31fec7d68e6ac58,true
0101000020E610000069119E48A84D4040773CB554C837D33F,201,,,,,,,,,I avoid going there alone,,,,,,,,On the street_negative,,,,,,,,14,2018-05-23 12:34:11.933+00,47,"I was raped, there are many gangs of people, putting here enough security ",,,,,,,female,,110757,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.300212,32.606805,false,POINT,P1AAA,0.300212,32.606805,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3002115,32.6068052|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1493472642",28487,false,Fortune Cabs,s,,bad,,"Fortune Cabs, Kampala Central Region",none,,,student,,,,,,,,,,,Late night,,2018-05-23 12:34:12.085+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/110757,session:bea7eab437a50038f31fec7d68e6ac58,true
0101000020E6100000280D8073094D404095B3CA20C4DBD43F,238,,,,,,,,,,,,,,,,,,On the street_positive,,,,,,,23,2018-05-24 08:23:13.272+00,47,,"People were working, _x000D_Me_x000D_I was going to the pharmacy _x000D_There is security",,,,,,female,,111995,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.326112,32.601849,false,STREET,B1AAA,0.326112,32.601849,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3261117739725203,32.60184852937503|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1584675465",28487,false,Hesketh Bell Road,s,,good,,"Hesketh Bell Road, Kampala Central Region",,,,student,,,,,,,,,,,Afternoon,,2018-05-24 08:23:13.437+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/111995,session:a647a85826eb2fafb6764d18b6911c38,true
0101000020E610000047894EB02E4D404063F85CAA71F6D43F,257,,,,,,,,,,,,,,I told my friend or my family),,,On the street_negative,,,,,,,,16,2018-05-24 08:52:16.202+00,47,"A girl was robbered, there are gang of people, enough security is needed ",,,,,,,female,,112083,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.327617,32.602971,false,STREET,B1AAA,0.327617,32.602971,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.327617468973544,32.60297080428157|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1386747195",28487,false,Upper Kololo Terrace,s,,bad,,"Upper Kololo Terrace, Kampala Central Region",none,,,student,,,,,,,,,,,Afternoon,,2018-05-24 08:52:16.219+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/112083,session:e9c374d68b449dc31b56c9f83df7ef7a,true
0101000020E6100000F6201A5B7C4D4040DCBD37E1B922D53F,317,,,,,,,,,,,,,,,,,,,,Out socially_positive,,,,,20,2018-05-24 09:50:28.067+00,47,,The   place  is  safe   .Its  a  barracks  and   the  people  around  are  well  taken  care   of  and  are  protected .,,,,,,female,,112413,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.330378,32.605184,false,STREET,B1AAA,0.330378,32.605184,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3303777,32.6051843|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-196246788",24144,false,Naguru Avenue,s,,good,,"Naguru Avenue, Kampala Central Region",,,,student,,,,,,,,,,,Anytime,,2018-05-24 09:50:28.219+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/112413,session:6474fd55ddef4f3e115ba9062584bf7d,true
0101000020E6100000A11AE096104E4040C04E8E5BFC78D53F,386,,,,,,,,,,,,,,,,,,On the street_positive,,,,,,,25,2018-05-24 11:55:48.017+00,47,,"There  is enough  security and  cameras, me and  other  people,  l normally use  that, enough  security lights. ",,,,,,female,,112952,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.335533,32.609796,false,POINT,P1AAA,0.335533,32.609796,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3355333,32.6097959|marker-sm-50318A-1&scalebar=true&zoom=15&rand=918411782",24144,false,Footprints Nursery,s,,good,,"Footprints Nursery, Kampala Central Region",,,,,,,,,,,,,,,Anytime,unemployed,2018-05-24 11:55:48.167+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/112952,session:51f403ed147d5fb2370ad306f0a37b64,true
0101000020E61000009AF657CB19474040D467F2092C9BD43F,656,,,,,,,,,,,,,,I told my friend or my family),,,On the street_negative,,,,,,,,23,2018-05-26 09:35:31.003+00,47,"There is mob justice in those area,  the police stations are very fear,  they should provide police stations near this place. ",,,,,,,female,,116232,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.322,32.555455,false,STREET,B1AAA,0.322,32.555455,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.32199972680843625,32.555455018469836|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-849134053",33903,false,Kikaye Road,s,,bad,,"Kikaye Road, Kampala Central Region",none,,,,,,,,,,,,,,Late night,unemployed,2018-05-26 09:35:31.019+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/116232,session:c53a5b05a371900ec075612c6bcc8075,true
0101000020E6100000324D4564804740405F167D7F2F57D83F,823,,,,,,,,,,,,,,,,,,,,Out socially_positive,,,,,16,2018-05-28 10:55:51.452+00,47,,"We don't have theives,our gate is locked early so the place is safe",,,,,,female,,120920,,UG,Country,Central Region,State,,County,,City,,Neighborhood,0.380368,32.55859,false,STREET,B1AAA,0.380368,32.55859,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3803684010346287,32.558590459158246|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-2143120585",36188,false,Kawempe Ttula Mpererwe Road,s,,good,,"Kawempe Ttula Mpererwe Road,  Central Region",,,,student,,,,,,,,,,,Evening,,2018-05-28 10:55:51.468+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/120920,session:3a2e6d0a3f3dd89a79c11e831adfd0f9,true
0101000020E6100000EA602DD9994740407965FA483A61D63F,907,,,,,,,,,,,,,,,,,On the street_negative,,,,,,,This happens so often that Iâ€™m just used to it,18,2018-05-28 13:22:02.447+00,47,Tewali mataala. Omuntu yenna akkola kyayagala nga tewali amulabye. Wasaanawo  amataala,,,,,,,female,,121531,in work,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.349179,32.559575,false,STREET,B1AAA,0.349179,32.559575,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.34917949350096567,32.55957454841848|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-974965634",36188,false,Northern Bypass,s,,bad,,"Northern Bypass, Kampala Central Region",none,,,,,,,,,,,,,,Evening,,2018-05-28 13:22:02.469+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/121531,session:ee08cdc9e897f95dfa8642055b602b6b,true
0101000020E6100000A1B2F065C14940408F60A19586B1D73F,930,,,,,,,,,,,,,,,,,,On the street_positive,,,,,,,15,2018-05-29 06:49:40.523+00,47,,"There is good security, there took away drug dealers, people have security lights.",,,,,,female,,122113,,UG,Country,Central Region,State,,County,Komamboga,City,,Neighborhood,0.369921,32.576017,false,POINT,P1AAA,0.369921,32.576017,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3699214,32.5760165|marker-sm-50318A-1&scalebar=true&zoom=15&rand=770026952",sssss,false,BL Clinic,s,,good,,"BL Clinic, Komamboga Central Region",,,,,,,,,,,,,,,Anytime,unemployed,2018-05-29 06:49:40.543+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/122113,session:190d552a9560c92a4b860ab24996cca9,true
0101000020E6100000345D3BD9D5494040C7690A474531D83F,968,,,,,,,,,,,,I reported it but authorities did nothing,,,,,On the street_negative,,,,,,,,23,2018-05-29 08:58:41.523+00,47,My phone was stolen by thieves who pretended to be boda-boda riders. ,,,,,,,female,,122523,in work,UG,Country,Central Region,State,,County,Komamboga,City,,Neighborhood,0.37811,32.576669,false,STREET,B1AAA,0.37811,32.576669,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3781104821320949,32.57666913024049|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1906036129",sssss,false,Gayaza Road,s,,bad,,"Gayaza Road, Komamboga Central Region",none,,,,,,,,,,,,,,Evening,,2018-05-31 12:14:35.131+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/122523,session:190d552a9560c92a4b860ab24996cca9,true
0101000020E6100000B3A079FEE9494040EA9E08A848A3D53F,993,,,,,,,,,,,,,,,,,,On the street_positive,,,,,,,15,2018-05-29 09:28:29.281+00,47,,"I have never seen anything happen on that road, I think it's safe.",,,,,,female,,122597,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.338091,32.577461,false,STREET,B1AAA,0.338091,32.577461,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.33809065306156055,32.57746058640635|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1810117244",36188,false,Upper Mulago Hill Road,s,,good,,"Upper Mulago Hill Road, Kampala Central Region",,,,student,,,,,,,,,,,Morning,,2018-05-29 09:28:29.297+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/122597,session:f4a371dfdd857432eae00ff00afde033,true
0101000020E6100000016A850945494040735265069497D63F,1034,,,,,,,,,,,,,,,,,On the street_negative,,,,,,,This happens so often that Iâ€™m just used to it,20,2018-05-29 11:31:03.325+00,47,"Aba taxi bavuma abakazi ababa bayitawo, baba baganye okulinya,bababulirire",,,,,,,female,gender_discrimination_factor,123150,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.352911,32.572398,false,STREET,B1AAA,0.352911,32.572398,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.352910535747061,32.57239799725563|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1587171982",36188,false,Northern Bypass,s,,bad,,"Northern Bypass, Kampala Central Region",,,,,,,,,,,,,,,Anytime,unemployed,2018-05-29 11:31:03.379+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/123150,session:b06ed4995dbb88b0ce5b07a70868b784,true
