the_geom,cartodb_id,at_a_public_event_negative,at_a_public_event_positive,at_the_shops_negative,at_the_shops_positive,going_to_or_from_school_negative,going_to_or_from_school_positive,going_to_or_from_work_negative,going_to_or_from_work_positive,i_avoid_going_there_alone,i_never_went_back_there,i_reported_it_and_authorities_did_something,i_reported_it_but_authorities_did_nothing,i_stopped_going_to_school_university_or_work,i_told_my_friend_or_my_family,in_a_park_or_gardennegative,in_a_park_or_garden_positive,lgbtqia,on_the_street_negative,on_the_street_positive,out_socially_negative,out_socially_positive,public_transport_negative,public_transport_positive,someone_using_alcohol_or_drugs_negative,this_happens_so_often_that_i_m_just_used_to_it,age,created_datetime,dataset,description_negative,description_positive,description_translation,disability,ethnicity,ftb_demographics_heading,full_time_parent,gender,gender_discrimination,id,in_work,location_adminarea1,location_adminarea1type,location_adminarea3,location_adminarea3type,location_adminarea4,location_adminarea4type,location_adminarea5,location_adminarea5type,location_adminarea6,location_adminarea6type,location_displaylatlng_lat,location_displaylatlng_lng,location_dragpoint,location_geocodequality,location_geocodequalitycode,location_latlng_lat,location_latlng_lng,location_linkid,location_mapurl,location_postalcode,location_sideofstreet,location_street,location_type_1,location_unknowninput,spot_type,location_what_happened_next_other,translation,name,none,other,religion,student,submission_sets_support_length,submission_sets_support_name,submission_sets_support_url,submitter,time_of_day,unemployed,updated_datetime,url,user_token,visible
0101000020E6100000130D80DFD04353C070539FC6A6F527C0,37,,,,,,,,,,,,,,,,,,x,,,,,,,x,23,2018-04-23 23:15:23.419+00,46,,,,,,,,Female,,94165,,PE,Country,Provincia de Huaral,State,,County,Independencia,City,,Neighborhood,-11.97981,-77.059565,false,STREET,B1AAA,-11.97981,-77.059565,0,"http://open.mapquestapi.com/staticmap/v5/map?key=5BYmKcmrvcadSDdBQQnKh7FOLjbrkXaA&type=map&size=225,160&locations=-11.9798105,-77.0595647|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1881182201",Lima 28,false,Avenida Tupac Amaru,s,,bad,,,"Avenida Tupac Amaru, Independencia Provincia de Huaral",none,,,x,,,,,Afternoon,,2018-04-23 23:15:23.449+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94165,session:6c5e6abfd9d00c1514dcdec555681f23,true
0101000020E610000056E1B1089E4153C0D82B480DCF1E28C0,71,,,,,x,,,,,,,,,,,,,x,,,,,,,x,17,2018-04-24 17:30:58.553+00,46,,,,,,,,Female,x,94340,,PE,Country,Lima,State,,County,La Victoria,City,,Neighborhood,-12.060309,-77.025254,false,STREET,B1AAA,-12.060309,-77.025254,0,"http://open.mapquestapi.com/staticmap/v5/map?key=5BYmKcmrvcadSDdBQQnKh7FOLjbrkXaA&type=map&size=225,160&locations=-12.060309211424697,-77.02525392489626|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1501656824",Lima 13,false,Antonio Raimondi,s,,bad,,,"Antonio Raimondi, La Victoria Lima",,,,x,,,,,Anytime,,2018-05-14 03:55:39.211+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94340,session:244d9ec5d2e73ab14341fca4ab238004,true
0101000020E61000005EFD3F9ABF4353C002474FC0A01E28C0,110,,,,,,,x,,,,,,,x,,,,,,,,,,,,18,2018-04-26 18:32:47.039+00,46,,,,,,,,Female,,94648,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,,,,,Afternoon,,2018-04-26 18:32:47.193+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94648,session:69f6b1d442665de97e42f6dd3c1ce066,true
0101000020E61000006CFDFF7F7D3A53C0A849646F062128C0,144,,,x,,,,,,,,,,,x,,,,,,,,,,,,22,2018-04-27 20:02:13.744+00,46,Me sentido muy humillada. Un hombre me mostrÃ³ sus partes intimas.,,I felt very humiliated. A man showed me his intimate parts.,,,,,Female,x,94817,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,,,,,Evening,,2018-05-14 03:55:41.039+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94817,session:9df577a40b718f0dc7613c17b8447bb0,true
0101000020E6100000EBA3ECE1FD3F53C0C124CC65800F28C0,238,,,,,,,,,x,,,,,,,,,x,,,,,,,,30,2018-04-28 03:45:07.051+00,46,En Puente Nuevo un tipo en bicicleta me metiÃ³ la mano cuando pasÃ³ por mi lado.,,"In Puente Nuevo, a guy on a bicycle put his hand in me when he passed by me.",,,,,Female,x,94977,x,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,,1,support,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94977/support,,Afternoon,,2018-05-14 03:55:41.784+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94977,session:c1ae5c9ec757114113fa272dd1910429,true
0101000020E610000041020030503F53C09F9F29C55C3428C0,374,,,,,,,,x,,,,,,,,,,,x,,,,,,,40,2018-04-29 21:00:06.651+00,46,,Para hacer deporte ,To do sport,,,,,Female,,95298,x,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,,,,,,,,,Afternoon,,2018-04-29 21:00:06.677+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95298,session:8ea4869d204c52aca05290e1ab321c50,true
0101000020E610000053FBBFEE554253C050AC308DC82028C0,453,,,,,,,,,x,,,,,,,,,x,,,,,,,,26,2018-05-01 01:28:02.187+00,46,,,,,,,,Female,x,95475,x,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,,1,support,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95475/support,,Evening,,2018-05-14 03:55:44.366+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95475,session:19d8b244fbc5e1a650ed1faae43781de,true
0101000020E6100000C0317F59DE3D53C07B8D4A9A99D527C0,469,,,,,,,,,x,,,,,,,,,x,,,,,,,,19,2018-05-01 15:16:59.244+00,46,,,,,,,,Female,x,95524,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,other,,x,,,,,Evening,,2018-05-14 03:55:44.555+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95524,session:f5d7e46f1d1dd7ee0dee9ea31f4d89f4,true
0101000020E610000012088099FB4053C02FFCB990226028C0,480,,,,,,,,,,,,,,,,,,,,,,,,x,x,20,2018-05-01 21:00:02.818+00,46,,,,,,,,Female,x,95540,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,none,,,x,,,,,Afternoon,,2018-05-14 03:55:44.649+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95540,session:382ba281b65f15194018fa7b9cb90abb,true
0101000020E610000096FEFF2AE94153C0F06DB528DE3E28C0,562,,x,,,,,,,,,,,,,,,,,,,x,,,,,24,2018-05-03 16:28:05.737+00,46,,,,,,,,Female,,95903,x,PE,Country,Lima,State,,County,Miraflores,City,,Neighborhood,-12.122795,-77.029858,false,STREET,B1AAA,-12.122795,-77.029858,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.122794636820577,-77.02985770267728|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1864468514",15074,false,Calle Schell,s,,good,,,"Calle Schell, Miraflores Lima",,,,,,,,,Anytime,,2018-05-03 16:28:05.755+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95903,session:920efa39a3b1c904aec2da58f2e56506,true
0101000020E61000009E0400D09B4453C09EAC623B29E027C0,621,,,,,,,,,,,,,,,,,,,,,,x,,,x,15,2018-05-04 19:57:40.956+00,46,,,,,,,,Female,,96371,,PE,Country,Lima,State,,County,Los Olivos,City,,Neighborhood,-11.937723,-77.072018,false,STREET,B1AAA,-11.937723,-77.072018,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.93772266276582,-77.07201767410352|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1897134135",7,false,Avenida Los PrÃ³ceres de Huandoy,s,,bad,,,"Avenida Los PrÃ³ceres de Huandoy, Los Olivos Lima",,,,x,,,,,Anytime,,2018-05-04 19:57:40.975+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/96371,session:2eb2f1a3ac2985a6d3ba9f25d127a657,true
0101000020E610000069F3FFF3124053C08678301A5C4128C0,708,,,,,,,,,,,,,,,,,,,,,x,,x,,,29,2018-05-08 02:03:13.659+00,46,,,,,,,x,Female,,98617,,PE,Country,Lima,State,,County,Surquillo,City,,Neighborhood,-12.127888,-77.001168,false,POINT,P1AAA,-12.127888,-77.001168,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.1278877,-77.0011681|marker-sm-50318A-1&scalebar=true&zoom=15&rand=78053158",33,false,Gold's Gym,s,,good,,,"Gold&#x27;s Gym, Surquillo Lima",,,,,,,,,Morning,,2018-05-08 02:03:13.676+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/98617,session:3ab7ddd11ae3db4f53d2ad1dc7204b02,true
0101000020E610000067F4FFBF3C3B53C0A200C518355E28C0,763,,,,,,,,,,,,,,,,,,x,,,,,,,x,24,2018-05-10 01:59:13.289+00,46,Un hombre se quiso tropazar conmigo en la calle. ,,A man wanted to fight with me in the street.,,,,,Female,x,99403,,PE,Country,Lima,State,,County,Villa MarÃ­a del Triunfo,City,,Neighborhood,-12.184653,-76.9253,false,STREET,B1AAA,-12.184653,-76.9253,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.184652709916422,-76.92530019037484|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1329786078",35,false,Tupac Amaru,s,,bad,,,"Tupac Amaru, Villa MarÃ­a del Triunfo Lima",,,,x,,,,,Evening,,2018-05-14 03:53:55.598+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/99403,session:57888b7178004cd36b0c68c42c948a79,true
0101000020E610000041084014E74753C01675B7C101FC27C0,842,,,,,,,,,,,,,,x,,,,x,,,,,,,x,20,2018-05-12 01:47:08.819+00,46,Varios choferes de los trailers que hacen cola o los mismos trabajadores de imupesa te silvan y dicen cosas obcenas,,Several drivers of trailers queuing or imupesa workers themselves whistle and say things to you,,,,,Female,x,100194,,PE,Country,Callao,State,,County,Callao,City,,Neighborhood,-11.992201,-77.123478,false,STREET,B1AAA,-11.992201,-77.123478,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.992201214216013,-77.12347763901776|marker-sm-50318A-1&scalebar=true&zoom=15&rand=11258750",,false,Calle Arica,s,,bad,,,"Calle Arica, Callao Callao",,,,x,,,,,Anytime,,2018-05-14 03:53:49.033+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/100194,session:cfda5667818d040015532d14414054c4,true
0101000020E6100000C6F9FF9FF84453C0EB2CBC0CF4FD27C0,1058,,,,,,,,,,,,,,,,,,,x,,,,x,,,29,2018-05-23 21:23:37.572+00,46,,,,,,,,Female,,111216,x,PE,Country,Lima,State,,County,Los Olivos,City,,Neighborhood,-11.996253,-77.077643,false,STREET,B1AAA,-11.996253,-77.077643,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.996253231400582,-77.0776430070791|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1364042233",31,false,Chimbote,s,,good,,,"Chimbote, Los Olivos Lima",,,,student,,,,,Morning,,2018-05-23 21:23:37.777+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/111216,session:e948b323255ce5bab1818d45a027f145,true
0101000020E6100000150400A0A23153C00EFA29017E9428C0,1079,,,,,,,,,x,,,,,,,,x,,,,,,,x,x,28,2018-05-23 22:01:13.303+00,46,,,,,,,,Female,,111237,x,PE,Country,Departamento de Lima,State,,County,Punta Hermosa,City,,Neighborhood,-12.290024,-76.775551,false,CITY,A5XAX,-12.290024,-76.775551,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.290023838372244,-76.77555084228516|marker-sm-50318A-1&scalebar=true&zoom=12&rand=-446317455",,false,,s,,bad,,,"Punta Hermosa, Departamento de Lima",,,,,,,,,Afternoon,,2018-05-23 22:01:13.32+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/111237,session:e948b323255ce5bab1818d45a027f145,true
0101000020E6100000A8060020A53653C0C09CF7042B7328C0,1080,,,,,,,,,x,x,,,,,x,,,,,,,,,,x,26,2018-05-23 22:01:40.633+00,46,,,,,,,,Female,,111238,x,PE,Country,Lima,State,,County,PachacÃ¡mac,City,,Neighborhood,-12.225133,-76.855386,false,STREET,B1AAA,-12.225133,-76.855386,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.225133377902871,-76.8553859719961|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1190600801",,false,Calle 18,s,,bad,,,"Calle 18, PachacÃ¡mac Lima",,,,,,,,,I can't remember or doesn't apply,,2018-05-23 22:01:40.651+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/111238,session:e948b323255ce5bab1818d45a027f145,true
0101000020E6100000D6B95B76353C53C09E828515A34228C0,1117,,,,,,,x,,,,,,,x,,,,,,x,,,,,,22,2018-05-24 02:25:36.714+00,46,Mi jefe me acosa siempre insiste en llevarme,,My boss harasses me always insists on taking me,,x,,,Female,,111308,x,PE,Country,Huaral,State,,County,Villa MarÃ­a del Triunfo,City,,Neighborhood,-12.131273,-76.940553,false,STREET,B1AAA,-12.131273,-76.940553,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.1312729,-76.9405529|marker-sm-50318A-1&scalebar=true&zoom=15&rand=520012627",29,false,Calle 9,s,,bad,,,"Calle 9, Villa MarÃ­a del Triunfo Huaral",,,,,,,,,Evening,,2018-05-24 02:25:36.73+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/111308,session:da4cf13a237a095dc17f3a9822b46867,true
0101000020E6100000C0000010504153C010E199F8B51628C0,1126,,,,,,,,,,,,,,x,,,x,x,,,,,,,,16,2018-05-24 02:50:42.727+00,46,Me robaron camino a casa,,They robbed me on the way home,,,,,Female,x,111400,,PE,Country,Lima,State,,County,Lima,City,,Neighborhood,-12.044685,-77.02061,false,STREET,B1AAA,-12.044685,-77.02061,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.044685453183622,-77.02061017312444|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1389585552",10,false,JirÃ³n Paruro,s,,bad,,,"JirÃ³n Paruro, Lima Lima",,,,x,,,,,Evening,,2018-05-24 02:50:42.955+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/111400,session:521aa5cff86d09bf43bb6af4a21061f2,true
0101000020E6100000750C00C06E4553C00D171BAD41AC27C0,1133,,,,,,,,,,,,x,,x,,,,x,,,,,,,x,28,2018-05-24 03:03:11.949+00,46,Me robaron en esta avenida felizmente no se llevaron mi celular.  Deberia haber luz y mÃ¡s seguridad.,,They robbed me in this avenue happily they did not take my cell phone. There should be light and more security.,,,,,Female,x,111482,x,PE,Country,Provincia de Huaral,State,,County,Santo Domingo,City,,Neighborhood,-11.835284,-77.08658,false,STREET,B1AAA,-11.835284,-77.08658,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.83528361157893,-77.0865800167738|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1974914221",22,false,Calle Santa Patricia,s,,bad,,,"Calle Santa Patricia, Santo Domingo Provincia de Huaral",,,,,,,,,Evening,,2018-05-24 03:03:11.965+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/111482,session:521aa5cff86d09bf43bb6af4a21061f2,true
0101000020E610000038044075C94053C08006ABD3802128C0,1384,,,,,,,,,x,,,,,,,,,x,,,,,,,,13,2018-05-30 19:21:46.194+00,46,,,,,,,,Female,,124279,x,PE,Country,Lima,State,,County,La Victoria,City,,Neighborhood,-12.065424,-77.012217,false,STREET,B1AAA,-12.065424,-77.012217,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.065423540297603,-77.0122170386719|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-810228772",10,false,Aviacion,s,,bad,,,"Aviacion, La Victoria Lima",,other,,,,,,,Evening,,2018-05-30 19:21:46.215+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124279,session:5f0352e3a2c01884f9ee8fb28660fecf,true
0101000020E6100000860A00E0C03C53C00E4EE1947BF927C0,1354,,,,,,,,,x,,,,x,,,,,,,,,x,,,,29,2018-05-30 14:58:35.233+00,46,,,,,,,,Female,,124207,x,PE,Country,Lima,State,,County,Lurigancho,City,,Neighborhood,-11.983941,-76.945497,false,STREET,B1AAA,-11.983941,-76.945497,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.983940877463922,-76.94549696466927|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1776877140",,false,Calle 28 de Julio,s,,bad,,,"Calle 28 de Julio, Lurigancho Lima",,,,,,,,,Late night,,2018-05-30 14:58:35.249+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124207,session:5db7752fa96fe6e0e437545e2f3ca99d,true
0101000020E61000007B740669F64153C0A298963AC33B28C0,1361,,,,,,,,,,,,,,,,,,x,,,,,,,x,27,2018-05-30 16:10:35.986+00,46,PasÃ³ un taxi y se parÃ³ a decirme obsenidades mientras yo caminaba,,He passed a taxi and stopped to tell me obsessions while I walked,,,,,Female,x,124214,x,PE,Country,Lima,State,,County,Miraflores,City,,Neighborhood,-12.11668,-77.030439,false,STREET,B1AAA,-12.11668,-77.030439,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-12.116680367847902,-77.03043932810637|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-827354593",18,false,calle Atahualpa,s,,bad,,,"calle Atahualpa, Miraflores Lima",,,,,,,,,Evening,,2018-05-30 16:10:36.11+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124214,session:b19ad2e13287a51cfa36996c672032eb,true
0101000020E610000025F97FC9254153C0143ECE81941F28C0,1421,,,,,,,,,x,,,,,,,,,x,,,,,,x,,17,2018-05-30 20:09:49.234+00,46,vi a unas personas consumiendo alcohol faltando el respeto a mujeres y niÃ±as,,I saw some people consuming alcohol disrespecting women and girls,,,,,Female,x,124351,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,,,,,Afternoon,,2018-05-30 20:09:49.255+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124351,session:808382fe72297f25026c7b9eac62c188,true
0101000020E61000000CF5FF5F714853C031FD590F02BF27C0,1479,,,,,x,,,,,,x,,,x,,,,,,,,,,,,26,2018-05-30 21:46:20.085+00,46,,,,,,,,Female,,124471,,PE,Country,Callao,State,,County,Ventanilla,City,,Neighborhood,-11.873194,-77.130786,false,STREET,B1AAA,-11.873194,-77.130786,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.87319399110686,-77.13078600756752|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1369397081",6,false,Calle Los Pelicanos,s,,bad,,,"Calle Los Pelicanos, Ventanilla Callao",none,,,x,,,,,Anytime,,2018-05-30 21:46:20.289+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/124471,session:5db7752fa96fe6e0e437545e2f3ca99d,true
